ID,Name,Sex,Age,Height,Weight,Team,Year,Event,Medal
103986,"Johan Wilhelm ""Jaska"" Saarivuori",M,19,NA,NA,Finland,1908,Gymnastics Men's Individual All-Around,NA
103989,Aleksanteri Saarvala (Schabarin-),M,22,NA,NA,Finland,1936,Gymnastics Men's Individual All-Around,NA
103991,Kaarlo Eino Saastamoinen,M,24,NA,NA,Finland,1912,"Gymnastics Men's Team All-Around, Free System",Silver
104062,Hamilton Sabot,M,21,5.7,139,France,2008,Gymnastics Men's Individual All-Around,NA
104079,Elena Sclici (-Petroanu),F,NA,NA,NA,Romania,1956,Gymnastics Women's Individual All-Around,NA
104084,Donatella Sacchi,F,17,5.4,123,Italy,1976,Gymnastics Women's Individual All-Around,NA
104111,Alicia Marie Sacramone (-Quinn),F,20,5.1,117,United States,2008,Gymnastics Women's Individual All-Around,NA
104197,Julieta Senz de Sicilia,F,14,5,90,Mexico,1968,Gymnastics Women's Individual All-Around,NA
104210,Frank Safanda,M,29,5.2,NA,United States,1924,Gymnastics Men's Individual All-Around,NA
104236,Aleksandr Alekseyevich Safoshkin,M,28,5.1,130,Russia,2004,Gymnastics Men's Individual All-Around,NA
104248,Mahmoud Ali Bayoumi Safwat,M,21,NA,NA,Egypt,1952,Gymnastics Men's Individual All-Around,NA
104292,Emilio Sagre del Cristo,M,21,5.5,139,Cuba,1972,Gymnastics Men's Individual All-Around,NA
104320,Einar Werner Sahlstein,M,20,NA,NA,Finland,1908,Gymnastics Men's Team All-Around,Bronze
104450,Yoshihiro Saito,M,24,5.6,146,Japan,2000,Gymnastics Men's Individual All-Around,NA
104465,Adela Sajn,F,18,5.5,115,Slovenia,2008,Gymnastics Women's Individual All-Around,NA
104506,Koki Sakamoto,M,21,5.3,123,Japan,2008,Gymnastics Men's Individual All-Around,NA
104507,Makoto Douglas Sakamoto,M,17,5.5,141,United States,1964,Gymnastics Men's Individual All-Around,NA
104522,Shizuko Sakashita,F,22,NA,NA,Japan,1956,Gymnastics Women's Individual All-Around,NA
104581,Gabriele Sala,M,20,5.4,132,Italy,1988,Gymnastics Men's Individual All-Around,NA
104688,"Terence John ""Terry"" Sale",M,21,5.4,NA,New Zealand,1972,Gymnastics Men's Individual All-Around,NA
104801,Sulo Artur Salmi,M,34,NA,NA,Finland,1948,Gymnastics Men's Individual All-Around,NA
104853,Ritva Tuulikki Salonen (Leppnen-),F,24,5.5,130,Finland,1960,Gymnastics Women's Individual All-Around,NA
104856,Vappu Orvokki Salonen (-Haapanen),F,23,5.2,117,Finland,1952,Gymnastics Women's Individual All-Around,NA
104861,"Arne Ihamo ""Aarne"" Salovaara (Nylenius-)",M,21,NA,NA,Finland,1908,Gymnastics Men's Team All-Around,Bronze
104911,Luigi Paolo Salvi,M,20,NA,NA,Italy,1912,Gymnastics Men's Team All-Around,Gold
104919,Salzard,M,NA,NA,NA,France,1900,Gymnastics Men's Individual All-Around,NA
104997,Heikki Albert (Henry-) Sammallahti (Lundahl-),M,26,NA,NA,Finland,1912,"Gymnastics Men's Team All-Around, Free System",Silver
105028,Littorio Sampieri,M,24,NA,NA,Italy,1952,Gymnastics Men's Individual All-Around,NA
