ID,Name,Sex,Age,Height,Weight,Team,Year,Event,Medal
106849,Helen Mary Schifano (-Sjursen),F,26,NA,NA,United States,1948,Gymnastics Women's Team All-Around,Bronze
106914,istein Schirmer,M,33,NA,NA,Norway,1912,"Gymnastics Men's Team All-Around, Free System",Gold
107018,Richarda Schmeier (-Hartmann),F,18,5.2,101,East Germany,1972,Gymnastics Women's Team All-Around,Silver
107113,Magdalena Schmidt (-Jakob),F,19,5.2,110,East Germany,1968,Gymnastics Women's Team All-Around,Bronze
107188,Christine Schmitt (-Dressel),F,19,5.6,119,East Germany,1972,Gymnastics Women's Team All-Around,Silver
107198,Julie Schmitt (-Knabel),F,23,NA,NA,Germany,1936,Gymnastics Women's Team All-Around,Gold
107211,Julian Frank Schmitz,M,22,NA,NA,"New York Turnverein, New York",1904,Gymnastics Men's Team All-Around,Silver
107569,Clara Marie Schroth-Lomady,F,27,NA,NA,United States,1948,Gymnastics Women's Team All-Around,Bronze
107607,Fritz Richard Gustav Schuft,M,19,NA,NA,Germany,1896,"Gymnastics Men's Parallel Bars, Teams",Gold
107607,Fritz Richard Gustav Schuft,M,19,NA,NA,Germany,1896,"Gymnastics Men's Horizontal Bar, Teams",Gold
107613,Carl Schuhmann,M,26,5.2,154,Germany,1896,Gymnastics Men's Horse Vault,Gold
107613,Carl Schuhmann,M,26,5.2,154,Germany,1896,"Gymnastics Men's Parallel Bars, Teams",Gold
107613,Carl Schuhmann,M,26,5.2,154,Germany,1896,"Gymnastics Men's Horizontal Bar, Teams",Gold
107630,Michael Schuler,M,30,NA,NA,United States,1932,Gymnastics Men's Team All-Around,Silver
107772,Philip Nat Schuster,M,21,NA,NA,"Central Turnverein, Chicago",1904,Gymnastics Men's Team All-Around,Bronze
107883,"Johannes ""Hans"" Schwarzentruber",M,23,5.4,128,Switzerland,1952,Gymnastics Men's Team All-Around,Silver
107890,Karl Alfred Markus Schwarzmann,M,24,NA,NA,Germany,1936,Gymnastics Men's Individual All-Around,Gold
107890,Karl Alfred Markus Schwarzmann,M,24,NA,NA,Germany,1936,Gymnastics Men's Team All-Around,Gold
107890,Karl Alfred Markus Schwarzmann,M,24,NA,NA,Germany,1936,Gymnastics Men's Horse Vault,Gold
107890,Karl Alfred Markus Schwarzmann,M,24,NA,NA,Germany,1936,Gymnastics Men's Parallel Bars,Bronze
107890,Karl Alfred Markus Schwarzmann,M,24,NA,NA,Germany,1936,Gymnastics Men's Horizontal Bar,Bronze
107890,Karl Alfred Markus Schwarzmann,M,40,NA,NA,Germany,1952,Gymnastics Men's Horizontal Bar,Silver
107925,Tasha Schwikert-Warren,F,15,NA,NA,United States,2000,Gymnastics Women's Team All-Around,Bronze
108175,Jaroslava Sedlkov (imov-),F,18,5.2,115,Czechoslovakia,1964,Gymnastics Women's Team All-Around,Silver
108215,Esa Seeste (Serenius-),M,23,NA,NA,Finland,1936,Gymnastics Men's Team All-Around,Bronze
108269,Albert Sguin,M,33,NA,NA,France,1924,Gymnastics Men's Team All-Around,Silver
108269,Albert Sguin,M,33,NA,NA,France,1924,Gymnastics Men's Rope Climbing,Silver
108269,Albert Sguin,M,33,NA,NA,France,1924,Gymnastics Men's Side Horse,Gold
108279,Louis Sgura,M,18,NA,NA,France,1908,Gymnastics Men's Individual All-Around,Bronze
108279,Louis Sgura,M,22,NA,NA,France,1912,Gymnastics Men's Individual All-Around,Silver
108423,Rzvan Dorin elariu,M,20,5.7,161,Romania,2004,Gymnastics Men's Team All-Around,Bronze
108439,Georg Selenius,M,27,NA,NA,Norway,1912,"Gymnastics Men's Team All-Around, Free System",Gold
109029,Ethel Seymour,F,NA,NA,NA,Great Britain,1928,Gymnastics Women's Team All-Around,Bronze
